artist,price,date,venue,songid1,songid2,deleted
Leftover Salmon,$35-$39.95,11-23-2018,Gothic Theatre,1oSWFvTM2TuZYBU7EbQ02T,5IkxjU1VjMYUmnJuBs6IZU,FALSE
TroyBoi,$25.75-$30.75,11-29-2018,Ogden Theatre,1T3E8z6VMXSsACrBSQHTkN,1gV0hgMNdpSWeW7ZjSUKnX,FALSE
Caye,$18,12-04-2018,Bluebird Theater,6tRa3SE3kbFPNcZPmBzOFA,6B0fJdJscs6PV9IhoVPIw9,FALSE
The Wood Brothers,$36.50,12-06-2018,Ogden Theatre,26uHwSHlaK5mskSMhbRod3,0MJ5Qltavj6AWdxjheHlSI,FALSE
Hippo Campus,$26-$28,01-26-2019,Ogden Theatre,6iCJCZqDJjmBxt07Oid6FI,6CES1554HcWMIVroJfmmBm,FALSE
Bring Me the Horizon,$45,02-11-2019,Fillmore Auditorium,7dRj3sTBYkNbEx5kdNHriv,5tYqrn7cItYhDGDLHt8XuH,FALSE
Said the Sky,$25-$27,12-08-2018,Ogden Theatre,04amRUbvDaUMmE9U4Vs48E,6BDLcvvtyJD2vnXRDi1IjQ,False
Nathaniel Rateliff & the Night Sweats,$47.50,12-19-2018,Ogden Theatre,6jwsbxD1nvTc4UGLgRoCa6,1hWQvA6oGVJ2mAVsZ59AaV,False
Campdogzz,$20,01-18-2019,Bluebird Theater,3WwGTjkbZTQqyirs5L6fGo,0BEMFrT0sin0MNAFWW50H7,False
Cursive,$20,01-18-2019,Bluebird Theater,3hwbRqQLezmv5Yo2LITSnb,0MJdJaOstnyoXEMMnLReun,False
Colter Wall,$25-$30,02-15-2019,Ogden Theatre,3Ozx6IrGdoQyAworJzvBDE,7hlA8gMMz6jSp91Twsnuv3,False
Ryan Montbleau,$20/$25,11-18-2018,Bluebird Theater,79ms40oOzof3LMyrrXDXtJ,2P7d62DM2Q1A9i6kkc4rgl,False
Justin Martin,$25.75-$30.75,11-21-2018,Ogden Theatre,4E8XEz8KIuQ1iJJAMgCcXV,6kfokZl9BuXPOtvNMsclV2,False
Iggy Azalea,$49.75,11-23-2018,Fillmore Auditorium,5mu1uv8RmzDkF8foePK5qa,3oiMJQAWVaxSubJ7b2VUtX,False
